tournament,bracket,team1name,team2name,team1wins,team2wins,time
HH1,Swiss,Day All Night,TBD,3,0,2018-09-15T21:00:01-0400
HH1,Swiss,Blue Bulls,No Money No Honey,3,0,2018-09-15T21:00:01-0400
HH1,Swiss,Big Drink Energy,Crashed Ice,3,0,2018-09-15T21:00:01-0400
HH1,Swiss,Bonus Nap,SEABEES,3,0,2018-09-15T21:00:01-0400
HH1,Swiss,Las Abejas de Los Angeles,Natural Snail Enhancement,0,3,2018-09-15T21:00:01-0400
HH1,Swiss,LBeeC,Bread Bowl,0,3,2018-09-15T21:00:01-0400
HH1,Swiss,Sad (I Promise),AL LALA ALLA,3,0,2018-09-15T21:00:01-0400
HH1,Swiss,Sam Is Coming,"Look Ma, No Wings!",3,0,2018-09-15T21:00:01-0400
HH1,Swiss,Womp Womp,The Bee's Knees,3,0,2018-09-15T21:00:01-0400
HH1,Swiss,Glitch,Red-y and A-bull,2,1,2018-09-15T21:00:01-0400
HH1,Swiss,Los Angeles Borkriders,SFXXX,0,3,2018-09-15T21:00:01-0400
HH1,Swiss,Gates Give You Wings,"Berry Pickers Union, Local 69420",3,0,2018-09-15T21:00:01-0400
HH1,Swiss,Crashed Ice,Bigger Drink Energy,3,0,2018-09-15T21:20:55-0400
HH1,Swiss,No Money No Honey,Red-y and A-bull,0,3,2018-09-15T21:20:55-0400
HH1,Swiss,TBD,The Bee's Knees,2,1,2018-09-15T21:20:55-0400
HH1,Swiss,Los Angeles Borkriders,"Look Ma, No Wings!",0,3,2018-09-15T21:20:55-0400
HH1,Swiss,LBeeC,AL LALA ALLA,0,3,2018-09-15T21:20:55-0400
HH1,Swiss,Las Abejas de Los Angeles,SEABEES,0,3,2018-09-15T21:20:55-0400
HH1,Swiss,Sam Is Coming,SFXXX,2,1,2018-09-15T21:20:55-0400
HH1,Swiss,Sad (I Promise),Bread Bowl,3,0,2018-09-15T21:20:55-0400
HH1,Swiss,Bonus Nap,Natural Snail Enhancement,3,0,2018-09-15T21:20:55-0400
HH1,Swiss,Big Drink Energy,Gates Give You Wings,3,0,2018-09-15T21:20:55-0400
HH1,Swiss,Blue Bulls,Glitch,2,1,2018-09-15T21:20:55-0400
HH1,Swiss,Day All Night,Womp Womp,0,3,2018-09-15T21:20:56-0400
HH1,Swiss,SEABEES,SFXXX,1,2,2018-09-15T21:47:13-0400
HH1,Swiss,Crashed Ice,Red-y and A-bull,2,1,2018-09-15T21:47:13-0400
HH1,Swiss,TBD,"Look Ma, No Wings!",0,3,2018-09-15T21:47:13-0400
HH1,Swiss,Gates Give You Wings,AL LALA ALLA,3,0,2018-09-15T21:47:13-0400
HH1,Swiss,Glitch,Bread Bowl,0,3,2018-09-15T21:47:13-0400
HH1,Swiss,Day All Night,Natural Snail Enhancement,1,2,2018-09-15T21:47:13-0400
HH1,Swiss,No Money No Honey,Las Abejas de Los Angeles,0,3,2018-09-15T21:47:13-0400
HH1,Swiss,"Berry Pickers Union, Local 69420",LBeeC,3,0,2018-09-15T21:47:13-0400
HH1,Swiss,Bigger Drink Energy,Los Angeles Borkriders,1,2,2018-09-15T21:47:13-0400
HH1,Swiss,Bonus Nap,Womp Womp,2,1,2018-09-15T21:47:13-0400
HH1,Swiss,Big Drink Energy,Sam Is Coming,2,1,2018-09-15T21:47:13-0400
HH1,Swiss,Blue Bulls,Sad (I Promise),0,3,2018-09-15T21:47:13-0400
HH1,Swiss,SEABEES,AL LALA ALLA,3,0,2018-09-15T22:21:07-0400
HH1,Swiss,Los Angeles Borkriders,"Berry Pickers Union, Local 69420",2,1,2018-09-15T22:21:07-0400
HH1,Swiss,Glitch,TBD,3,0,2018-09-15T22:21:07-0400
HH1,Swiss,Day All Night,Las Abejas de Los Angeles,3,0,2018-09-15T22:21:07-0400
HH1,Swiss,LBeeC,Red-y and A-bull,0,3,2018-09-15T22:21:07-0400
HH1,Swiss,Bigger Drink Energy,The Bee's Knees,2,1,2018-09-15T22:21:07-0400
HH1,Swiss,Crashed Ice,Natural Snail Enhancement,2,1,2018-09-15T22:21:06-0400
HH1,Swiss,Gates Give You Wings,SFXXX,3,0,2018-09-15T22:21:06-0400
HH1,Swiss,Womp Womp,"Look Ma, No Wings!",2,1,2018-09-15T22:21:06-0400
HH1,Swiss,Blue Bulls,Bread Bowl,3,0,2018-09-15T22:21:06-0400
HH1,Swiss,Sad (I Promise),Sam Is Coming,2,1,2018-09-15T22:21:06-0400
HH1,Swiss,Big Drink Energy,Bonus Nap,0,3,2018-09-15T22:21:06-0400
HH1,Swiss,"Look Ma, No Wings!",SFXXX,1,2,2018-09-15T22:55:41-0400
HH1,Swiss,Glitch,Day All Night,1,2,2018-09-15T22:55:41-0400
HH1,Swiss,Bread Bowl,SEABEES,3,0,2018-09-15T22:55:41-0400
HH1,Swiss,Natural Snail Enhancement,Los Angeles Borkriders,3,0,2018-09-15T22:55:41-0400
HH1,Swiss,AL LALA ALLA,Red-y and A-bull,0,3,2018-09-15T22:55:41-0400
HH1,Swiss,Gates Give You Wings,Sam Is Coming,1,2,2018-09-15T22:55:41-0400
HH1,Swiss,"Berry Pickers Union, Local 69420",Las Abejas de Los Angeles,2,1,2018-09-15T22:55:41-0400
HH1,Swiss,Bigger Drink Energy,TBD,2,1,2018-09-15T22:55:41-0400
HH1,Swiss,The Bee's Knees,No Money No Honey,1,2,2018-09-15T22:55:41-0400
HH1,Swiss,Blue Bulls,Crashed Ice,3,0,2018-09-15T22:55:41-0400
HH1,Swiss,Big Drink Energy,Womp Womp,1,2,2018-09-15T22:55:41-0400
HH1,Swiss,Bonus Nap,Sad (I Promise),1,2,2018-09-15T22:55:41-0400
HH1,Swiss,Natural Snail Enhancement,Red-y and A-bull,0,3,2018-09-15T23:26:57-0400
HH1,Swiss,Crashed Ice,Gates Give You Wings,1,2,2018-09-15T23:26:57-0400
HH1,Swiss,Sam Is Coming,Day All Night,3,0,2018-09-15T23:26:57-0400
HH1,Swiss,Big Drink Energy,Bread Bowl,3,0,2018-09-15T23:26:57-0400
HH1,Swiss,Glitch,SFXXX,0,3,2018-09-15T23:26:57-0400
HH1,Swiss,SEABEES,Los Angeles Borkriders,3,0,2018-09-15T23:26:57-0400
HH1,Swiss,"Berry Pickers Union, Local 69420","Look Ma, No Wings!",0,3,2018-09-15T23:26:57-0400
HH1,Swiss,Las Abejas de Los Angeles,Bigger Drink Energy,2,0,2018-09-15T23:26:57-0400
HH1,Swiss,No Money No Honey,AL LALA ALLA,0,3,2018-09-15T23:26:56-0400
HH1,Swiss,The Bee's Knees,LBeeC,3,0,2018-09-15T23:26:56-0400
HH1,Swiss,Bonus Nap,Blue Bulls,3,0,2018-09-15T23:26:56-0400
HH1,Swiss,Sad (I Promise),Womp Womp,2,1,2018-09-15T23:26:56-0400
HH1,KO,Sad (I Promise),Blue Bulls,3,0,2018-09-16T00:27:57-0400
HH1,KO,Womp Womp,Big Drink Energy,3,1,2018-09-16T00:27:57-0400
HH1,KO,Bonus Nap,Gates Give You Wings,3,1,2018-09-16T00:27:57-0400
