Tournament,Bracket,Team 1,Team 2,Team 1 wins,Team 2 wins,Time
KQC3,Group1,Post Meta Malone,The Notorious B.E.E.,2,0,2019-02-23T12:00:00-05:00
KQC3,Group1,Keep Yourself Alive,LaCroix Super Drinkers,2,0,2019-02-23T12:01:00-05:00
KQC3,Group1,Queen's Revenge,LaCroix Super Drinkers,2,1,2019-02-23T12:02:00-05:00
KQC3,Group1,Keep Yourself Alive,Post Meta Malone,2,0,2019-02-23T12:03:00-05:00
KQC3,Group1,Keep Yourself Alive,The Notorious B.E.E.,2,0,2019-02-23T12:04:00-05:00
KQC3,Group1,Queen's Revenge,Post Meta Malone,2,1,2019-02-23T12:05:00-05:00
KQC3,Group1,LaCroix Super Drinkers,Post Meta Malone,2,0,2019-02-23T12:06:00-05:00
KQC3,Group1,Queen's Revenge,The Notorious B.E.E.,2,1,2019-02-23T12:07:00-05:00
KQC3,Group1,Keep Yourself Alive,Queen's Revenge,2,1,2019-02-23T12:08:00-05:00
KQC3,Group1,The Notorious B.E.E.,LaCroix Super Drinkers,2,1,2019-02-23T12:09:00-05:00
KQC3,Group2,Vertical Scroll,Law & Order,2,0,2019-02-23T12:10:00-05:00
KQC3,Group2,Seattle BooperSonics,TallBaes,2,0,2019-02-23T12:11:00-05:00
KQC3,Group2,Seattle BooperSonics,Ol’ Dirty Berries,2,0,2019-02-23T12:12:00-05:00
KQC3,Group2,TallBaes,Law & Order,2,1,2019-02-23T12:13:00-05:00
KQC3,Group2,TallBaes,Vertical Scroll,2,0,2019-02-23T12:14:00-05:00
KQC3,Group2,Law & Order,Ol’ Dirty Berries,2,0,2019-02-23T12:15:00-05:00
KQC3,Group2,Seattle BooperSonics,Law & Order,2,1,2019-02-23T12:16:00-05:00
KQC3,Group2,Vertical Scroll,Ol’ Dirty Berries,2,1,2019-02-23T12:17:00-05:00
KQC3,Group2,TallBaes,Ol’ Dirty Berries,2,0,2019-02-23T12:18:00-05:00
KQC3,Group2,Seattle BooperSonics,Vertical Scroll,2,0,2019-02-23T12:19:00-05:00
KQC3,Group3,Fyre Fest 2,WE BEE SWARMIN’ FOR YA,2,0,2019-02-23T12:20:00-05:00
KQC3,Group3,fridge genie,Bye,2,0,2019-02-23T12:21:00-05:00
KQC3,Group3,Princes Among Boys,WE BEE SWARMIN’ FOR YA,2,0,2019-02-23T12:22:00-05:00
KQC3,Group3,fridge genie,Fyre Fest 2,2,0,2019-02-23T12:23:00-05:00
KQC3,Group3,Fyre Fest 2,Bye,2,0,2019-02-23T12:24:00-05:00
KQC3,Group3,Princes Among Boys,fridge genie,2,0,2019-02-23T12:25:00-05:00
KQC3,Group3,fridge genie,WE BEE SWARMIN’ FOR YA,2,0,2019-02-23T12:26:00-05:00
KQC3,Group3,Princes Among Boys,Bye,2,0,2019-02-23T12:27:00-05:00
KQC3,Group3,Princes Among Boys,Fyre Fest 2,2,0,2019-02-23T12:28:00-05:00
KQC3,Group3,Bye,WE BEE SWARMIN’ FOR YA,2,0,2019-02-23T12:29:00-05:00
KQC3,Group4,PUERTO RICO,Anti Social Snail Club,2,0,2019-02-23T12:30:00-05:00
KQC3,Group4,brunch skunks,TEAM NAME,2,0,2019-02-23T12:31:00-05:00
KQC3,Group4,MATH,brunch skunks,2,0,2019-02-23T12:32:00-05:00
KQC3,Group4,PUERTO RICO,TEAM NAME,2,0,2019-02-23T12:33:00-05:00
KQC3,Group4,Anti Social Snail Club,TEAM NAME,2,0,2019-02-23T12:34:00-05:00
KQC3,Group4,PUERTO RICO,MATH,2,1,2019-02-23T12:35:00-05:00
KQC3,Group4,PUERTO RICO,brunch skunks,2,1,2019-02-23T12:36:00-05:00
KQC3,Group4,MATH,Anti Social Snail Club,2,0,2019-02-23T12:37:00-05:00
KQC3,Group4,MATH,TEAM NAME,2,0,2019-02-23T12:38:00-05:00
KQC3,Group4,Anti Social Snail Club,brunch skunks,2,0,2019-02-23T12:39:00-05:00
KQC3,Group5,Mr. Tenders,Luibee's Mansion,2,0,2019-02-23T12:40:00-05:00
KQC3,Group5,Only Kinda Safe,Eyes on the Hives,2,0,2019-02-23T12:41:00-05:00
KQC3,Group5,Bae Caught Me Drippin',Only Kinda Safe,2,0,2019-02-23T12:42:00-05:00
KQC3,Group5,Eyes on the Hives,Luibee's Mansion,2,0,2019-02-23T12:43:00-05:00
KQC3,Group5,Mr. Tenders,Eyes on the Hives,2,0,2019-02-23T12:44:00-05:00
KQC3,Group5,Bae Caught Me Drippin',Luibee's Mansion,2,1,2019-02-23T12:45:00-05:00
KQC3,Group5,Luibee's Mansion,Only Kinda Safe,2,0,2019-02-23T12:46:00-05:00
KQC3,Group5,Mr. Tenders,Bae Caught Me Drippin',2,1,2019-02-23T12:47:00-05:00
KQC3,Group5,Eyes on the Hives,Bae Caught Me Drippin',2,1,2019-02-23T12:48:00-05:00
KQC3,Group5,Mr. Tenders,Only Kinda Safe,2,1,2019-02-23T12:49:00-05:00
KQC3,Group6,BarBEE Dream Gate,Dingle Berries,2,0,2019-02-23T12:50:00-05:00
KQC3,Group6,Bonus Nap,"We put the ""i"" in CLT",2,0,2019-02-23T12:51:00-05:00
KQC3,Group6,Bonus Nap,Shadow Scene,2,1,2019-02-23T12:52:00-05:00
KQC3,Group6,"We put the ""i"" in CLT",Dingle Berries,2,0,2019-02-23T12:53:00-05:00
KQC3,Group6,"We put the ""i"" in CLT",BarBEE Dream Gate,2,0,2019-02-23T12:54:00-05:00
KQC3,Group6,Shadow Scene,Dingle Berries,2,0,2019-02-23T12:55:00-05:00
KQC3,Group6,Bonus Nap,Dingle Berries,2,0,2019-02-23T12:56:00-05:00
KQC3,Group6,Shadow Scene,BarBEE Dream Gate,2,1,2019-02-23T12:57:00-05:00
KQC3,Group6,"We put the ""i"" in CLT",Shadow Scene,2,0,2019-02-23T12:58:00-05:00
KQC3,Group6,Bonus Nap,BarBEE Dream Gate,2,0,2019-02-23T12:59:00-05:00
