tournament,bracket,team1name,team2name,team1wins,team2wins,time
CC1,GroupA,Cowbois Beesbop,Hey This Looks Fun!,2,0,2018-02-03T13:38:57-0800
CC1,GroupA,Punxsutawney Trill,Beelandia,2,0,2018-02-03T13:38:57-0800
CC1,GroupA,Hey This Looks Fun!,Punxsutawney Trill,0,2,2018-02-03T13:38:57-0800
CC1,GroupA,He'll Yeah,Cowbois Beesbop,2,0,2018-02-03T13:38:57-0800
CC1,GroupA,Punxsutawney Trill,He'll Yeah,0,2,2018-02-03T13:38:57-0800
CC1,GroupA,Beelandia,Hey This Looks Fun!,2,0,2018-02-03T13:38:57-0800
CC1,GroupA,He'll Yeah,Beelandia,2,0,2018-02-03T13:38:57-0800
CC1,GroupA,Cowbois Beesbop,Punxsutawney Trill,0,2,2018-02-03T13:38:57-0800
CC1,GroupA,Beelandia,Cowbois Beesbop,0,2,2018-02-03T13:38:57-0800
CC1,GroupA,Hey This Looks Fun!,He'll Yeah,0,2,2018-02-03T13:38:58-0800
CC1,GroupB,Taco Bell Conquistadors,Miller Time,0,2,2018-02-03T17:39:10-0500
CC1,GroupB,Pork and Bees,Sedona My Face,0,2,2018-02-03T17:39:10-0500
CC1,GroupB,Sedona My Face,Taco Bell Conquistadors,2,0,2018-02-03T17:39:10-0500
CC1,GroupB,Miller Time,Pork and Bees,1,1,2018-02-03T17:39:11-0500
CC1,GroupB,Pork and Bees,Taco Bell Conquistadors,2,0,2018-02-03T17:39:10-0500
CC1,GroupB,Miller Time,Sedona My Face,0,2,2018-02-03T17:39:10-0500
CC1,GroupC,Dank MayMays,Show Me Your Boops,1,1,2018-02-03T18:24:03-0500
CC1,GroupC,BYE FELIXIA,Fons Pszczoly,0,2,2018-02-03T18:24:03-0500
CC1,GroupC,Fons Pszczoly,Dank MayMays,2,0,2018-02-03T18:24:03-0500
CC1,GroupC,Show Me Your Boops,BYE FELIXIA,1,1,2018-02-03T18:24:03-0500
CC1,GroupC,BYE FELIXIA,Dank MayMays,0,2,2018-02-03T18:24:03-0500
CC1,GroupC,Show Me Your Boops,Fons Pszczoly,1,1,2018-02-03T18:24:03-0500
CC1,KO,Show Me Your Boops,Pork and Bees,2,3,2018-02-03T18:16:58-0600
CC1,KO,Punxsutawney Trill,Hey This Looks Fun!,3,0,2018-02-03T18:16:58-0600
CC1,KO,Cowbois Beesbop,Taco Bell Conquistadors,3,0,2018-02-03T18:16:58-0600
CC1,KO,BYE FELIXIA,Miller Time,3,0,2018-02-03T18:16:58-0600
CC1,KO,Beelandia,Dank MayMays,2,3,2018-02-03T18:16:58-0600
CC1,KO,He'll Yeah,Pork and Bees,3,0,2018-02-03T18:35:02-0600
CC1,KO,Punxsutawney Trill,Cowbois Beesbop,3,0,2018-02-03T18:51:31-0600
