tournament,bracket,team1name,team2name,team1wins,team2wins,time
GDC3,KO,Mucho Tasto,Couples Bearapy,3,0,2018-03-25T05:30:21+0800
GDC3,KO,Ruin My Hole,Queso Fresco,3,0,2018-03-25T05:30:21+0800
GDC3,KO,Infinite Joust,Better than bots,3,0,2018-03-25T05:30:21+0800
GDC3,KO,Mahalo,Broke Boi$ Mtn,3,1,2018-03-25T05:30:21+0800
GDC3,KO,J Crew,Hate & Smashberry,3,0,2018-03-25T05:30:21+0800
GDC3,KO,Ope!,Double or Nothing,3,0,2018-03-25T05:30:21+0800
GDC3,KO,Don't. You Won't.,Earthquake Season,3,0,2018-03-25T05:30:21+0800
GDC3,KO,T.E.A.M.,Scoo-Bee-Doo,3,0,2018-03-25T05:30:21+0800
GDC3,KO,Mucho Tasto,Ruin My Hole,3,1,2018-03-25T05:35:42+0800
GDC3,KO,Infinite Joust,Mahalo,3,2,2018-03-25T05:57:21+0800
GDC3,KO,J Crew,Ope!,3,0,2018-03-25T06:16:14+0800
GDC3,KO,Don't. You Won't.,T.E.A.M.,3,0,2018-03-25T06:34:34+0800
GDC3,KO,Mucho Tasto,Infinite Joust,3,1,2018-03-25T08:10:52+0800
GDC3,KO,J Crew,Don't. You Won't.,2,3,2018-03-25T08:45:10+0800
GDC3,KO,Mucho Tasto,Don't. You Won't.,2,3,2018-03-25T11:02:41+0800
GDC3,KO,Couples Bearapy,Queso Fresco,3,2,2018-03-25T05:35:42+0800
GDC3,KO,Better than bots,Broke Boi$ Mtn,0,3,2018-03-25T05:57:21+0800
GDC3,KO,Hate & Smashberry,Double or Nothing,3,1,2018-03-25T06:16:14+0800
GDC3,KO,Earthquake Season,Scoo-Bee-Doo,1,3,2018-03-25T06:34:34+0800
GDC3,KO,T.E.A.M.,Couples Bearapy,3,0,2018-03-25T08:45:10+0800
GDC3,KO,Ope!,Broke Boi$ Mtn,3,0,2018-03-25T08:22:32+0800
GDC3,KO,Mahalo,Hate & Smashberry,3,0,2018-03-25T08:10:52+0800
GDC3,KO,Ruin My Hole,Scoo-Bee-Doo,3,0,2018-03-25T07:50:42+0800
GDC3,KO,T.E.A.M.,Ope!,3,0,2018-03-25T09:32:49+0800
GDC3,KO,Mahalo,Ruin My Hole,1,3,2018-03-25T09:08:24+0800
GDC3,KO,Infinite Joust,T.E.A.M.,3,2,2018-03-25T10:31:32+0800
GDC3,KO,J Crew,Ruin My Hole,1,3,2018-03-25T11:02:41+0800
GDC3,KO,Infinite Joust,Ruin My Hole,3,0,2018-03-25T11:50:54+0800
GDC3,KO,Mucho Tasto,Infinite Joust,3,2,2018-03-25T12:29:24+0800
GDC3,KO,Don't. You Won't.,Mucho Tasto,4,1,2018-03-25T12:54:10+0800
GDC3,Group1,Mucho Tasto,Better than bots,2,0,2018-03-25T05:14:10+0800
GDC3,Group1,Mucho Tasto,Ope!,2,0,2018-03-25T05:15:10+0800
GDC3,Group1,Ope!,Scoo-Bee-Doo,2,0,2018-03-25T05:16:10+0800
GDC3,Group1,Better than bots,Scoo-Bee-Doo,0,2,2018-03-25T05:17:10+0800
GDC3,Group2,Ruin My Hole,Earthquake Season,2,0,2018-03-25T05:18:10+0800
GDC3,Group2,Ruin My Hole,J Crew,0,2,2018-03-25T05:19:10+0800
GDC3,Group2,Broke Boi$ Mtn,J Crew,0,2,2018-03-25T05:20:10+0800
GDC3,Group2,Earthquake Season,Broke Boi$ Mtn,0,2,2018-03-25T05:21:10+0800
GDC3,Group3,Don't. You Won't.,Queso Fresco,2,0,2018-03-25T05:22:10+0800
GDC3,Group3,Don't. You Won't.,Mahalo,2,1,2018-03-25T05:23:10+0800
GDC3,Group3,Mahalo,Hate & Smashberry,2,1,2018-03-25T05:24:10+0800
GDC3,Group3,Queso Fresco,Hate & Smashberry,2,1,2018-03-25T05:25:10+0800
GDC3,Group4,T.E.A.M.,Couples Bearapy,2,0,2018-03-25T05:26:10+0800
GDC3,Group4,T.E.A.M.,Infinite Joust,0,2,2018-03-25T05:27:10+0800
GDC3,Group4,Couples Bearapy,Double or Nothing,0,2,2018-03-25T05:28:10+0800
GDC3,Group4,Couples Bearapy,Infinite Joust,0,2,2018-03-25T05:29:10+0800
GDC2,KO,#SorryNotSorry,T W O . F I V E  S C E N E,2,3,2017-03-05T03:24:57+0700
GDC2,KO,Whiskey Stick,Unbumblebearable,0,3,2017-03-05T03:24:57+0700
GDC2,KO,Booty Town 69,Welcome to Stingapore,3,2,2017-03-05T03:24:57+0700
GDC2,KO,Candy House,Beenix Rising,3,0,2017-03-05T03:24:57+0700
GDC2,KO,Same,T W O . F I V E  S C E N E,3,0,2017-03-05T03:49:07+0700
GDC2,KO,Cloud 9 Gaming,Unbumblebearable,1,3,2017-03-05T03:49:37+0700
GDC2,KO,Olive Juice Guys,Booty Town 69,3,1,2017-03-05T04:03:29+0700
GDC2,KO,Full Snail University,Candy House,0,3,2017-03-05T04:12:19+0700
GDC2,KO,Same,Unbumblebearable,3,2,2017-03-05T04:36:21+0700
GDC2,KO,Olive Juice Guys,Candy House,3,1,2017-03-05T05:04:57+0700
GDC2,KO,Same,Olive Juice Guys,3,0,2017-03-05T06:56:13+0700
GDC2,KO,Full Snail University,#SorryNotSorry,3,0,2017-03-05T05:04:57+0700
GDC2,KO,Booty Town 69,Whiskey Stick,3,0,2017-03-05T04:52:33+0700
GDC2,KO,Cloud 9 Gaming,Welcome to Stingapore,3,0,2017-03-05T04:36:21+0700
GDC2,KO,T W O . F I V E  S C E N E,Beenix Rising,2,3,2017-03-05T04:22:11+0700
GDC2,KO,Full Snail University,Booty Town 69,3,0,2017-03-05T05:52:58+0700
GDC2,KO,Cloud 9 Gaming,Beenix Rising,3,1,2017-03-05T05:30:21+0700
GDC2,KO,Unbumblebearable,Full Snail University,3,2,2017-03-05T06:40:35+0700
GDC2,KO,Candy House,Cloud 9 Gaming,1,3,2017-03-05T07:26:54+0700
GDC2,KO,Unbumblebearable,Cloud 9 Gaming,3,0,2017-03-05T07:26:55+0700
GDC2,KO,Olive Juice Guys,Unbumblebearable,3,2,2017-03-05T07:53:54+0700
GDC2,KO,Same,Olive Juice Guys,4,1,2017-03-05T08:16:36+0700
Camp17,KO,Nother Scorcher,Hentai Coordination,0,3,2017-08-14T06:05:23+1000
Camp17,KO,R. Kelly's Pool Party,Salute Your Shorts,3,2,2017-08-14T06:05:23+1000
Camp17,KO,Asterisk,JNCO Biloba,3,2,2017-08-14T06:05:23+1000
Camp17,KO,Bee in Tents,Daddy Scott's Cabin 13,3,0,2017-08-14T06:05:23+1000
Camp17,KO,I Thought It Was Tasteful,Hentai Coordination,2,3,2017-08-14T06:22:45+1000
Camp17,KO,We Did It! Hooray!,R. Kelly's Pool Party,3,1,2017-08-14T06:40:36+1000
Camp17,KO,Ben Centerfolds Five,Asterisk,1,3,2017-08-14T07:00:56+1000
Camp17,KO,#xXxDingersOutxXx,Bee in Tents,3,2,2017-08-14T07:15:59+1000
Camp17,KO,Hentai Coordination,We Did It! Hooray!,1,3,2017-08-14T07:48:42+1000
Camp17,KO,Asterisk,#xXxDingersOutxXx,1,3,2017-08-14T08:26:14+1000
Camp17,KO,We Did It! Hooray!,#xXxDingersOutxXx,1,3,2017-08-14T10:21:53+1000
Camp17,KO,Bee in Tents,Nother Scorcher,3,1,2017-08-14T08:26:14+1000
Camp17,KO,Ben Centerfolds Five,Salute Your Shorts,3,1,2017-08-14T08:00:20+1000
Camp17,KO,R. Kelly's Pool Party,JNCO Biloba,3,1,2017-08-14T07:48:42+1000
Camp17,KO,I Thought It Was Tasteful,Daddy Scott's Cabin 13,3,0,2017-08-14T07:37:57+1000
