tournament,bracket,team1name,team2name,team1wins,team2wins,time
MCS_KC,KO,Weekend at Berries,Windlefornia,3,0,2018-07-15T15:16:29-0400
MCS_KC,KO,Bonus Wrap,Plan Bee,3,0,2018-07-15T15:16:29-0400
MCS_KC,KO,Toxic Avengers,@therealfreddiemercury,3,0,2018-07-15T15:16:29-0400
MCS_KC,KO,My Dad's a Cuck,Cardi Bee: Honey Moves,3,0,2018-07-15T15:16:29-0400
MCS_KC,KO,PET STUFF MY GYM,That’s A Warning!,3,0,2018-07-15T15:16:29-0400
MCS_KC,KO,Beer Break,Jarlie's Angels,3,0,2018-07-15T15:16:29-0400
MCS_KC,KO,Jazz!,Weekend at Berries,3,0,2018-07-15T15:18:00-0400
MCS_KC,KO,Bonus Wrap,Toxic Avengers,3,0,2018-07-15T15:33:22-0400
MCS_KC,KO,Yitzbin,My Dad's a Cuck,3,1,2018-07-15T15:51:28-0400
MCS_KC,KO,PET STUFF MY GYM,Beer Break,3,1,2018-07-15T16:08:07-0400
MCS_KC,KO,Jazz!,Bonus Wrap,2,3,2018-07-15T16:40:42-0400
MCS_KC,KO,Yitzbin,PET STUFF MY GYM,1,3,2018-07-15T17:13:13-0400
MCS_KC,KO,Bonus Wrap,PET STUFF MY GYM,1,3,2018-07-15T19:17:02-0400
MCS_KC,KO,Plan Bee,@therealfreddiemercury,1,3,2018-07-15T15:33:22-0400
MCS_KC,KO,That’s A Warning!,Jarlie's Angels,0,3,2018-07-15T16:08:07-0400
MCS_KC,KO,Beer Break,Windlefornia,3,0,2018-07-15T17:13:13-0400
MCS_KC,KO,My Dad's a Cuck,@therealfreddiemercury,3,0,2018-07-15T16:53:34-0400
MCS_KC,KO,Toxic Avengers,Cardi Bee: Honey Moves,3,0,2018-07-15T16:40:42-0400
MCS_KC,KO,Weekend at Berries,Jarlie's Angels,3,0,2018-07-15T16:31:34-0400
MCS_KC,KO,Beer Break,My Dad's a Cuck,3,0,2018-07-15T17:56:45-0400
MCS_KC,KO,Toxic Avengers,Weekend at Berries,1,3,2018-07-15T17:37:00-0400
MCS_KC,KO,Jazz!,Beer Break,3,1,2018-07-15T19:16:41-0400
MCS_KC,KO,Yitzbin,Weekend at Berries,3,1,2018-07-15T19:17:02-0400
MCS_KC,KO,Jazz!,Yitzbin,1,3,2018-07-15T19:43:40-0400
MCS_KC,KO,Bonus Wrap,Yitzbin,1,3,2018-07-15T20:22:50-0400
MCS_KC,KO,PET STUFF MY GYM,Yitzbin,4,3,2018-07-15T23:21:37-0400
GFT,KO,Genuine Ostrich,Trash Knights,3,0,2019-05-26T13:14:50-0700
GFT,KO,Arcade AF,MINIONS @ WALMART,3,0,2019-05-26T13:14:50-0700
GFT,KO,Insanely Moist Posse,Genuine Ostrich,3,0,2019-05-26T13:26:56-0700
GFT,KO,Gimme Some Bones🤜🤛,DASH OF SHASH,1,3,2019-05-26T13:14:50-0700
GFT,KO,Carpe Natem,Arcade AF,3,2,2019-05-26T13:34:25-0700
GFT,KO,America's Asses,Trash Me Outside,3,1,2019-05-26T13:14:50-0700
GFT,KO,Insanely Moist Posse,DASH OF SHASH,3,0,2019-05-26T14:28:15-0700
GFT,KO,Carpe Natem,America's Asses,1,3,2019-05-26T14:42:18-0700
GFT,KO,Insanely Moist Posse,America's Asses,3,0,2019-05-26T16:07:38-0700
GFT,KO,Trash Me Outside,Trash Knights,3,1,2019-05-26T14:18:25-0700
GFT,KO,Gimme Some Bones🤜🤛,MINIONS @ WALMART,3,0,2019-05-26T13:59:27-0700
GFT,KO,Arcade AF,Trash Me Outside,1,3,2019-05-26T15:07:49-0700
GFT,KO,Genuine Ostrich,Gimme Some Bones🤜🤛,2,3,2019-05-26T14:49:10-0700
GFT,KO,DASH OF SHASH,Trash Me Outside,3,1,2019-05-26T15:41:31-0700
GFT,KO,Carpe Natem,Gimme Some Bones🤜🤛,0,3,2019-05-26T16:07:38-0700
GFT,KO,DASH OF SHASH,Gimme Some Bones🤜🤛,3,1,2019-05-26T16:47:04-0700
GFT,KO,America's Asses,DASH OF SHASH,3,2,2019-05-26T17:19:10-0700
GFT,KO,Insanely Moist Posse,America's Asses,4,1,2019-05-26T18:54:02-0700
QGW19,KO,Florida Man,Live Laugh Love,3,0,2019-02-09T16:59:16-0500
QGW19,KO,Laser Wolf,Garbage Day,3,0,2019-02-09T16:59:16-0500
QGW19,KO,Bonus Salt,Florida Man,3,0,2019-02-09T17:25:25-0500
QGW19,KO,🔥F🔥,¡mucha lucha!,3,0,2019-02-09T16:59:16-0500
QGW19,KO,A Stinch In Time,Laser Wolf,3,0,2019-02-09T17:36:51-0500
QGW19,KO,Drinking Required,Beepublic Of Texas,3,1,2019-02-09T16:59:16-0500
QGW19,KO,Bonus Salt,🔥F🔥,3,1,2019-02-09T18:12:45-0500
QGW19,KO,A Stinch In Time,Drinking Required,3,0,2019-02-09T18:23:25-0500
QGW19,KO,Bonus Salt,A Stinch In Time,4,0,2019-02-09T19:38:03-0500
QGW19,KO,Beepublic Of Texas,Live Laugh Love,3,1,2019-02-09T18:00:22-0500
QGW19,KO,¡mucha lucha!,Garbage Day,3,0,2019-02-09T17:46:06-0500
QGW19,KO,Laser Wolf,Beepublic Of Texas,3,0,2019-02-09T18:42:36-0500
