tournament,bracket,team1name,team2name,team1wins,team2wins,time
GDC3,KO,Mucho Tasto,Couples Bearapy,3,0,2018-03-25T05:30:21+0800
GDC3,KO,Ruin My Hole,Queso Fresco,3,0,2018-03-25T05:30:21+0800
GDC3,KO,Infinite Joust,Better than bots,3,0,2018-03-25T05:30:21+0800
GDC3,KO,Mahalo,Broke Boi$ Mtn,3,1,2018-03-25T05:30:21+0800
GDC3,KO,J Crew,Hate & Smashberry,3,0,2018-03-25T05:30:21+0800
GDC3,KO,Ope!,Double or Nothing,3,0,2018-03-25T05:30:21+0800
GDC3,KO,Don't. You Won't.,Earthquake Season,3,0,2018-03-25T05:30:21+0800
GDC3,KO,T.E.A.M.,Scoo-Bee-Doo,3,0,2018-03-25T05:30:21+0800
GDC3,KO,Mucho Tasto,Ruin My Hole,3,1,2018-03-25T05:35:42+0800
GDC3,KO,Infinite Joust,Mahalo,3,2,2018-03-25T05:57:21+0800
GDC3,KO,J Crew,Ope!,3,0,2018-03-25T06:16:14+0800
GDC3,KO,Don't. You Won't.,T.E.A.M.,3,0,2018-03-25T06:34:34+0800
GDC3,KO,Mucho Tasto,Infinite Joust,3,1,2018-03-25T08:10:52+0800
GDC3,KO,J Crew,Don't. You Won't.,2,3,2018-03-25T08:45:10+0800
GDC3,KO,Mucho Tasto,Don't. You Won't.,2,3,2018-03-25T11:02:41+0800
GDC3,KO,Couples Bearapy,Queso Fresco,3,2,2018-03-25T05:35:42+0800
GDC3,KO,Better than bots,Broke Boi$ Mtn,0,3,2018-03-25T05:57:21+0800
GDC3,KO,Hate & Smashberry,Double or Nothing,3,1,2018-03-25T06:16:14+0800
GDC3,KO,Earthquake Season,Scoo-Bee-Doo,1,3,2018-03-25T06:34:34+0800
GDC3,KO,T.E.A.M.,Couples Bearapy,3,0,2018-03-25T08:45:10+0800
GDC3,KO,Ope!,Broke Boi$ Mtn,3,0,2018-03-25T08:22:32+0800
GDC3,KO,Mahalo,Hate & Smashberry,3,0,2018-03-25T08:10:52+0800
GDC3,KO,Ruin My Hole,Scoo-Bee-Doo,3,0,2018-03-25T07:50:42+0800
GDC3,KO,T.E.A.M.,Ope!,3,0,2018-03-25T09:32:49+0800
GDC3,KO,Mahalo,Ruin My Hole,1,3,2018-03-25T09:08:24+0800
GDC3,KO,Infinite Joust,T.E.A.M.,3,2,2018-03-25T10:31:32+0800
GDC3,KO,J Crew,Ruin My Hole,1,3,2018-03-25T11:02:41+0800
GDC3,KO,Infinite Joust,Ruin My Hole,3,0,2018-03-25T11:50:54+0800
GDC3,KO,Mucho Tasto,Infinite Joust,3,2,2018-03-25T12:29:24+0800
GDC3,KO,Don't. You Won't.,Mucho Tasto,4,1,2018-03-25T12:54:10+0800
